source,target,source_label,type,target_label
UBERON:0000006,UBERON:0000016,islet of Langerhans,part of,endocrine pancreas
UBERON:0000010,UBERON:0001016,peripheral nervous system,part of,nervous system
UBERON:0001017,UBERON:0001016,central nervous system,part of,nervous system
UBERON:0003718,UBERON:0001016,muscle spindle,part of,nervous system
UBERON:0005388,UBERON:0001016,photoreceptor array,part of,nervous system
UBERON:0000017,UBERON:0001264,exocrine pancreas,part of,pancreas
UBERON:0000019,UBERON:0004088,camera-type eye,part of,orbital region
UBERON:0000029,UBERON:0002465,lymph node,part of,lymphoid system
UBERON:0001744,UBERON:0002465,lymphoid tissue,part of,lymphoid system
UBERON:0000043,UBERON:0002204,tendon,part of,musculoskeletal system
UBERON:0000054,UBERON:0001846,macula,part of,internal ear
UBERON:0000056,UBERON:0036295,ureter,part of,renal pelvis/ureter
UBERON:0001224,UBERON:0036295,renal pelvis,part of,renal pelvis/ureter
UBERON:0000057,UBERON:0001556,urethra,part of,lower urinary tract
UBERON:0001255,UBERON:0001556,urinary bladder,part of,lower urinary tract
UBERON:0000059,UBERON:0000160,large intestine,part of,intestine
UBERON:0002108,UBERON:0000160,small intestine,part of,intestine
UBERON:0000059,UBERON:0004907,large intestine,part of,lower digestive tract
UBERON:0000074,UBERON:0001229,renal glomerulus,part of,renal corpuscle
UBERON:0001230,UBERON:0001229,glomerular capsule,part of,renal corpuscle
UBERON:0004639,UBERON:0001229,renal afferent arteriole,part of,renal corpuscle
UBERON:0004640,UBERON:0001229,renal efferent arteriole,part of,renal corpuscle
UBERON:0000079,UBERON:0003101,male reproductive system,part of,male organism
UBERON:0000085,UBERON:0004716,morula,part of,conceptus
UBERON:0000095,UBERON:0002342,cardiac neural crest,part of,neural crest
UBERON:0000102,UBERON:0002048,lung vasculature,part of,lung
UBERON:0000114,UBERON:0002048,lung connective tissue,part of,lung
UBERON:0000115,UBERON:0002048,lung epithelium,part of,lung
UBERON:0002401,UBERON:0002048,visceral pleura,part of,lung
UBERON:0008946,UBERON:0002048,lung parenchyma,part of,lung
UBERON:0000121,UBERON:0003209,perineurium,part of,blood nerve barrier
UBERON:0000159,UBERON:0000059,anal canal,part of,large intestine
UBERON:0001154,UBERON:0000059,vermiform appendix,part of,large intestine
UBERON:0001155,UBERON:0000059,colon,part of,large intestine
UBERON:8410050,UBERON:0000059,anorectum,part of,large intestine
UBERON:0000159,UBERON:0001353,anal canal,part of,anal region
UBERON:0000160,UBERON:0005409,intestine,part of,alimentary part of gastrointestinal system
UBERON:0004786,UBERON:0005409,gastrointestinal system mucosa,part of,alimentary part of gastrointestinal system
UBERON:0000178,UBERON:0002390,blood,part of,hematopoietic system
UBERON:0002371,UBERON:0002390,bone marrow,part of,hematopoietic system
UBERON:0012429,UBERON:0002390,hematopoietic tissue,part of,hematopoietic system
UBERON:0000179,UBERON:0002193,haemolymphatic fluid,part of,hemolymphoid system
UBERON:0000310,UBERON:0001443,breast,part of,chest
UBERON:0000325,UBERON:0006924,gastric gland,part of,stomach glandular epithelium
UBERON:0000358,UBERON:0000307,blastocyst,part of,blastula
UBERON:0000362,UBERON:0002113,renal medulla,part of,kidney
UBERON:0001224,UBERON:0002113,renal pelvis,part of,kidney
UBERON:0005215,UBERON:0002113,kidney interstitium,part of,kidney
UBERON:0000365,UBERON:0001008,urothelium,part of,renal system
UBERON:0001556,UBERON:0001008,lower urinary tract,part of,renal system
UBERON:0000376,UBERON:0000978,hindlimb stylopod,part of,leg
UBERON:0000378,UBERON:0000165,tongue muscle,part of,mouth
UBERON:0011595,UBERON:0000165,jaw region,part of,mouth
UBERON:0000397,UBERON:0001155,colonic epithelium,part of,colon
UBERON:0001153,UBERON:0001155,caecum,part of,colon
UBERON:0000400,UBERON:0008343,jejunal epithelium,part of,intestinal villus of jejunum
UBERON:0000403,UBERON:0000033,scalp,part of,head
UBERON:0001690,UBERON:0000033,ear,part of,head
UBERON:0003129,UBERON:0000033,skull,part of,head
UBERON:0000412,UBERON:0001992,dermal papilla,part of,papillary layer of dermis
UBERON:0000428,UBERON:0002367,prostate epithelium,part of,prostate gland
UBERON:0002485,UBERON:0002367,prostate duct,part of,prostate gland
UBERON:0000437,UBERON:0002362,arachnoid barrier layer,part of,arachnoid mater
UBERON:0000437,UBERON:0000201,arachnoid barrier layer,part of,endothelial blood brain barrier
UBERON:0000478,UBERON:0016887,extraembryonic structure,part of,entire extraembryonic component
UBERON:0001987,UBERON:0016887,placenta,part of,entire extraembryonic component
UBERON:0000479,UBERON:0000468,tissue,part of,multicellular organism
UBERON:0000916,UBERON:0002417,abdomen,part of,abdominal segment of trunk
UBERON:0000939,UBERON:0002548,imaginal disc,part of,larva
